algorithm,iteration,gap,record_gap,time_s
IRLS,163,5.194218e-07,5.194218e-07,6.765000e-03
IRLS,164,5.120067e-07,5.120067e-07,6.806375e-03
IRLS,165,5.047273e-07,5.047273e-07,6.842625e-03
IRLS,166,4.975807e-07,4.975807e-07,6.882333e-03
IRLS,167,4.905637e-07,4.905637e-07,6.923625e-03
IRLS,168,4.836735e-07,4.836735e-07,6.963500e-03
IRLS,169,4.769072e-07,4.769072e-07,7.003958e-03
IRLS,170,4.702622e-07,4.702622e-07,7.041166e-03
IRLS,171,4.637356e-07,4.637356e-07,7.079250e-03
IRLS,172,4.573250e-07,4.573250e-07,7.118333e-03
IRLS,173,4.510278e-07,4.510278e-07,7.158541e-03
IRLS,174,4.448415e-07,4.448415e-07,7.196333e-03
IRLS,175,4.387637e-07,4.387637e-07,7.234458e-03
IRLS,176,4.327922e-07,4.327922e-07,7.272375e-03
IRLS,177,4.269245e-07,4.269245e-07,7.310541e-03
IRLS,178,4.211586e-07,4.211586e-07,7.347958e-03
IRLS,179,4.154922e-07,4.154922e-07,7.386125e-03
IRLS,180,4.099232e-07,4.099232e-07,7.428958e-03
IRLS,181,4.044496e-07,4.044496e-07,7.470791e-03
IRLS,182,3.990695e-07,3.990695e-07,7.507708e-03
IRLS,183,3.937808e-07,3.937808e-07,7.548500e-03
IRLS,184,3.885816e-07,3.885816e-07,7.588125e-03
IRLS,185,3.834702e-07,3.834702e-07,7.628250e-03
IRLS,186,3.784446e-07,3.784446e-07,7.668708e-03
IRLS,187,3.735032e-07,3.735032e-07,7.707708e-03
IRLS,188,3.686443e-07,3.686443e-07,7.747666e-03
IRLS,189,3.638661e-07,3.638661e-07,7.789583e-03
IRLS,190,3.591671e-07,3.591671e-07,7.831000e-03
IRLS,191,3.545456e-07,3.545456e-07,7.868041e-03
IRLS,192,3.500000e-07,3.500000e-07,7.909250e-03
IRLS,193,3.455290e-07,3.455290e-07,7.949625e-03
IRLS,194,3.411310e-07,3.411310e-07,7.989000e-03
IRLS,195,3.368045e-07,3.368045e-07,8.030916e-03
IRLS,196,3.325481e-07,3.325481e-07,8.070500e-03
IRLS,197,3.283605e-07,3.283605e-07,8.110375e-03
IRLS,198,3.242404e-07,3.242404e-07,8.152083e-03
IRLS,199,3.201863e-07,3.201863e-07,8.194541e-03
IRLS,200,3.161971e-07,3.161971e-07,8.235000e-03
IRLS,201,3.122715e-07,3.122715e-07,8.277250e-03
IRLS,202,3.084082e-07,3.084082e-07,8.318875e-03
IRLS,203,3.046061e-07,3.046061e-07,8.355958e-03
IRLS,204,3.008639e-07,3.008639e-07,8.397250e-03
IRLS,205,2.971806e-07,2.971806e-07,8.437291e-03
IRLS,206,2.935550e-07,2.935550e-07,8.476541e-03
IRLS,207,2.899861e-07,2.899861e-07,8.517875e-03
IRLS,208,2.864728e-07,2.864728e-07,8.557541e-03
IRLS,209,2.830140e-07,2.830140e-07,8.597333e-03
IRLS,210,2.796087e-07,2.796087e-07,8.639000e-03
IRLS,211,2.762559e-07,2.762559e-07,8.681083e-03
IRLS,212,2.729547e-07,2.729547e-07,8.717833e-03
IRLS,213,2.697040e-07,2.697040e-07,8.759000e-03
IRLS,214,2.665030e-07,2.665030e-07,8.799708e-03
IRLS,215,2.633508e-07,2.633508e-07,8.850583e-03
IRLS,216,2.602464e-07,2.602464e-07,8.900833e-03
IRLS,217,2.571890e-07,2.571890e-07,8.941208e-03
IRLS,218,2.541777e-07,2.541777e-07,8.981166e-03
IRLS,219,2.512117e-07,2.512117e-07,9.020291e-03
IRLS,220,2.482902e-07,2.482902e-07,9.058750e-03
IRLS,221,2.454124e-07,2.454124e-07,9.097333e-03
IRLS,222,2.425774e-07,2.425774e-07,9.135375e-03
IRLS,223,2.397846e-07,2.397846e-07,9.219208e-03
IRLS,224,2.370332e-07,2.370332e-07,9.273208e-03
IRLS,225,2.343223e-07,2.343223e-07,9.316458e-03
IRLS,226,2.316514e-07,2.316514e-07,9.357166e-03
IRLS,227,2.290197e-07,2.290197e-07,9.397291e-03
IRLS,228,2.264265e-07,2.264265e-07,9.436416e-03
IRLS,229,2.238712e-07,2.238712e-07,9.475916e-03
IRLS,230,2.213531e-07,2.213531e-07,9.515166e-03
IRLS,231,2.188714e-07,2.188714e-07,9.554875e-03
IRLS,232,2.164257e-07,2.164257e-07,9.601375e-03
IRLS,233,2.140153e-07,2.140153e-07,9.641958e-03
IRLS,234,2.116395e-07,2.116395e-07,9.681500e-03
IRLS,235,2.092978e-07,2.092978e-07,9.721291e-03
IRLS,236,2.069895e-07,2.069895e-07,9.766125e-03
IRLS,237,2.047142e-07,2.047142e-07,9.808875e-03
IRLS,238,2.024712e-07,2.024712e-07,9.850458e-03
IRLS,239,2.002600e-07,2.002600e-07,9.892291e-03
IRLS,240,1.980800e-07,1.980800e-07,9.929000e-03
IRLS,241,1.959308e-07,1.959308e-07,9.971375e-03
IRLS,242,1.938118e-07,1.938118e-07,1.001329e-02
IRLS,243,1.917224e-07,1.917224e-07,1.005583e-02
IRLS,244,1.896623e-07,1.896623e-07,1.009263e-02
