dataset,i_mid,gap,rho_per_iter,iters_per_decade
diabetes,76838.42586883206,8.880879055824549e-05,0.9999614987934072,59804.379403267536
diabetes,94819.50309403651,4.7620084194418284e-05,0.9999587596303342,55832.12836346537
diabetes,117008.21928394603,2.089484503202196e-05,0.9999593881946602,56696.281225261366
diabetes,144389.75746222446,7.678634731069137e-06,0.9999595464195987,56918.04028059934
diabetes,178178.8399445905,2.2432827751100428e-06,0.9999588255265404,55921.48472916024
diabetes,219875.16670147178,4.782721477315589e-07,0.9999589571861003,56100.876660432485
diabetes,271329.04315424844,7.145578070050548e-08,0.9999583115373407,55231.99825963015
diabetes,334823.3359220949,6.594262734494388e-09,0.9999586400644821,55670.72207555994
diabetes,413175.88397920807,3.566142285909946e-10,0.9999583719144882,55312.10811761617
diabetes,509864.0315103626,9.519213725714282e-12,0.9999575837634059,54284.31289620426
diabetes,629178.0339872014,1e-13,1.0,-inf
diabetes,776413.0192255924,1e-13,1.0,-inf
diabetes,958102.9701201223,1e-13,1.0,-inf
diabetes,1182310.6534143216,1e-13,1.0,-inf
diabetes,1458985.6851902283,1e-13,1.0,-inf
diabetes,1800405.5098782608,1e-13,1.0,-inf
california,1.4142135623730951,0.37427244416350725,0.7932460365164555,9.941139587064551
california,2.449489742783178,0.2968901329100285,0.9056277599009848,23.228656051359753
california,3.4641016151377544,0.26887194600401476,0.9332540590028604,33.333208311465285
california,4.898979485566356,0.2509258349602447,0.947862942706009,43.00251208483486
california,6.48074069840786,0.22544285055027152,0.9576613902640582,53.225402033098106
california,7.937253933193772,0.21589791368306532,0.9648498834378141,64.3490238163977
california,9.9498743710662,0.2009869885192787,0.9718733276446562,80.7080575574236
california,11.958260743101398,0.1898398009274869,0.976685368859095,97.60555860020237
california,14.422205101855956,0.1810909026635731,0.9806566972914924,117.88280568583626
california,17.88854381999832,0.17078417630588708,0.9841601367067321,144.2121188505494
california,21.908902300206645,0.16021777988470695,0.98663089285913,171.0779028555927
california,26.832815729997478,0.1518201962316377,0.9885591939554285,200.10723971621667
california,32.863353450309965,0.14169209634542546,0.9901032301931858,231.50706470132104
california,39.7994974842648,0.13348377802817116,0.9913426778822442,264.81670744989873
california,48.744230427815765,0.12451420952299896,0.9924872723861907,305.33848592674025
