start,delta_factor,rho,R,delta_0,gap,n_contractions,n_iter
warm,0.1,0.5,10.0,0.15553978397261528,0.0004566294658550074,8,8000
warm,0.5,0.5,10.0,0.7776989198630764,0.00046426305772606646,10,8000
warm,0.05,0.5,5.0,0.07776989198630764,0.0004977500190113116,7,8000
warm,1.0,0.7,5.0,1.5553978397261528,0.0005023333548248576,22,8000
warm,0.05,0.7,5.0,0.07776989198630764,0.0005715009256377357,13,8000
warm,1.0,0.8,5.0,1.5553978397261528,0.0006032997785372363,35,8000
warm,0.01,0.5,10.0,0.015553978397261527,0.0006238767010118274,4,8000
warm,0.01,0.8,5.0,0.015553978397261527,0.0007439166421274734,13,8000
warm,0.1,0.8,5.0,0.15553978397261528,0.000744350087437784,23,8000
warm,0.5,0.8,5.0,0.7776989198630764,0.0007580090082077717,30,8000
warm,0.01,0.8,10.0,0.015553978397261527,0.0007830390434175882,10,8000
warm,0.05,0.7,10.0,0.07776989198630764,0.0008947113274733187,11,8000
warm,1.0,0.7,10.0,1.5553978397261528,0.0009540614638225975,20,8000
warm,0.5,0.7,10.0,0.7776989198630764,0.0009781891170961288,17,8000
warm,0.01,0.7,10.0,0.015553978397261527,0.0011055444530152503,7,8000
warm,0.05,0.9,5.0,0.07776989198630764,0.0012036952311800242,34,8000
warm,1.0,0.9,5.0,1.5553978397261528,0.0012201947174705907,61,8000
warm,0.1,0.8,10.0,0.15553978397261528,0.0013965832609872386,19,8000
warm,0.05,0.8,10.0,0.07776989198630764,0.0014424561964432314,17,8000
warm,0.1,0.7,10.0,0.15553978397261528,0.0015715831208602538,12,8000
warm,0.01,0.9,5.0,0.015553978397261527,0.0016455536005715032,20,8000
warm,0.5,0.8,10.0,0.7776989198630764,0.0016998452015777321,27,8000
warm,0.1,0.9,5.0,0.15553978397261528,0.0020910464548589136,40,8000
warm,0.5,0.9,5.0,0.7776989198630764,0.002519674454187104,54,8000
warm,1.0,0.8,10.0,1.5553978397261528,0.002648054369655428,28,8000
warm,0.01,0.9,10.0,0.015553978397261527,0.0033060211953797047,13,8000
warm,0.1,0.9,10.0,0.15553978397261528,0.003942995558688933,33,8000
warm,1.0,0.9,10.0,1.5553978397261528,0.00415746050057586,54,8000
warm,0.5,0.9,10.0,0.7776989198630764,0.004396876944935846,46,8000
warm,0.05,0.9,10.0,0.07776989198630764,0.005287774585412741,25,8000
warm,1.0,0.3,0.5,1.5553978397261528,0.09195713302474262,6,8000
warm,1.0,0.5,0.1,1.5553978397261528,0.20102657314852013,11,8000
warm,1.0,0.3,0.1,1.5553978397261528,0.42236874936371605,11,8000
cold,0.01,0.3,0.1,0.04574394495906652,6.063767310493517e-07,9,8000
cold,0.05,0.3,0.1,0.22871972479533265,9.977273585093371e-07,10,8000
cold,0.01,0.5,0.1,0.04574394495906652,1.4876807812314041e-06,14,8000
cold,0.05,0.7,0.1,0.22871972479533265,1.8523610594289863e-06,31,8000
cold,0.1,0.5,0.1,0.4574394495906653,2.6671662880506375e-06,17,8000
cold,0.5,0.5,0.1,2.2871972479533262,2.680214010286619e-06,19,8000
